pair,ts,direction,reason
EURUSD,2024-01-09 23:00:00+00:00,-1,invalid_sl
EURUSD,2024-01-10 04:07:00+00:00,-1,position_open
EURUSD,2024-01-10 06:20:00+00:00,-1,position_open
EURUSD,2024-01-16 21:35:00+00:00,1,position_open
EURUSD,2024-02-01 02:50:00+00:00,1,position_open
EURUSD,2024-02-01 04:57:00+00:00,-1,position_open
EURUSD,2024-02-07 04:45:00+00:00,-1,invalid_sl
EURUSD,2024-02-09 20:56:00+00:00,1,position_open
EURUSD,2024-02-11 22:15:00+00:00,-1,position_open
EURUSD,2024-02-11 23:31:00+00:00,1,position_open
EURUSD,2024-02-15 06:21:00+00:00,-1,invalid_sl
EURUSD,2024-02-27 09:51:00+00:00,-1,invalid_sl
EURUSD,2024-03-01 00:28:00+00:00,1,invalid_sl
EURUSD,2024-03-01 15:00:00+00:00,-1,invalid_sl
EURUSD,2024-03-13 03:07:00+00:00,-1,invalid_sl
EURUSD,2024-03-13 21:01:00+00:00,-1,invalid_sl
EURUSD,2024-03-15 06:31:00+00:00,1,invalid_sl
EURUSD,2024-03-19 23:40:00+00:00,-1,invalid_sl
EURUSD,2024-03-24 23:04:00+00:00,1,position_open
EURUSD,2024-03-26 06:16:00+00:00,1,invalid_sl
EURUSD,2024-03-29 07:45:00+00:00,1,invalid_sl
EURUSD,2024-03-29 09:13:00+00:00,1,invalid_sl
EURUSD,2024-04-04 17:10:00+00:00,-1,invalid_sl
EURUSD,2024-04-23 13:45:00+00:00,-1,invalid_sl
EURUSD,2024-04-24 00:48:00+00:00,1,invalid_sl
EURUSD,2024-04-29 21:58:00+00:00,1,invalid_sl
EURUSD,2024-05-13 04:02:00+00:00,1,invalid_sl
EURUSD,2024-06-02 21:56:00+00:00,1,invalid_sl
EURUSD,2024-06-27 16:10:00+00:00,1,invalid_sl
EURUSD,2024-07-15 03:19:00+00:00,1,position_open
EURUSD,2024-07-15 07:17:00+00:00,-1,position_open
EURUSD,2024-07-15 08:41:00+00:00,1,position_open
EURUSD,2024-07-16 07:39:00+00:00,1,invalid_sl
EURUSD,2024-07-22 04:00:00+00:00,-1,position_open
EURUSD,2024-07-30 05:12:00+00:00,1,invalid_sl
EURUSD,2024-08-12 21:00:00+00:00,1,invalid_sl
EURUSD,2024-09-12 12:15:00+00:00,-1,invalid_sl
EURUSD,2024-10-06 23:51:00+00:00,1,invalid_sl
EURUSD,2024-10-21 22:34:00+00:00,1,invalid_sl
EURUSD,2024-10-24 12:30:00+00:00,1,invalid_sl
EURUSD,2024-10-25 00:00:00+00:00,-1,invalid_sl
EURUSD,2024-10-28 15:51:00+00:00,-1,invalid_sl
EURUSD,2024-11-12 14:24:00+00:00,1,position_open
EURUSD,2024-11-22 14:37:00+00:00,-1,position_open
EURUSD,2024-11-22 18:15:00+00:00,1,position_open
EURUSD,2024-11-22 20:07:00+00:00,-1,position_open
EURUSD,2024-11-22 21:34:00+00:00,1,position_open
EURUSD,2024-12-05 12:10:00+00:00,1,invalid_sl
EURUSD,2024-12-17 23:58:00+00:00,1,position_open
EURUSD,2024-12-20 06:09:00+00:00,1,invalid_sl
EURUSD,2024-12-23 00:47:00+00:00,-1,position_open
EURUSD,2024-12-30 22:00:00+00:00,1,position_open
EURUSD,2024-12-31 01:37:00+00:00,1,position_open
EURUSD,2024-12-31 05:08:00+00:00,-1,position_open
EURUSD,2024-12-31 07:52:00+00:00,1,position_open
EURUSD,2025-01-03 06:29:00+00:00,1,invalid_sl
EURUSD,2025-01-22 01:00:00+00:00,1,invalid_sl
EURUSD,2025-01-28 21:59:00+00:00,1,invalid_sl
EURUSD,2025-01-31 06:52:00+00:00,1,position_open
EURUSD,2025-01-31 08:55:00+00:00,-1,position_open
EURUSD,2025-02-07 15:00:00+00:00,1,invalid_sl
EURUSD,2025-02-21 14:36:00+00:00,1,invalid_sl
EURUSD,2025-04-10 22:00:00+00:00,-1,invalid_sl
EURUSD,2025-04-16 15:09:00+00:00,1,position_open
EURUSD,2025-04-16 16:01:00+00:00,1,position_open
EURUSD,2025-05-14 02:10:00+00:00,-1,position_open
EURUSD,2025-05-21 07:45:00+00:00,1,invalid_sl
EURUSD,2025-06-20 12:34:00+00:00,-1,invalid_sl
EURUSD,2025-07-02 03:37:00+00:00,-1,invalid_sl
EURUSD,2025-07-11 18:05:00+00:00,1,invalid_sl
EURUSD,2025-07-31 00:27:00+00:00,1,invalid_sl
EURUSD,2025-08-04 22:00:00+00:00,-1,invalid_sl
EURUSD,2025-08-07 03:09:00+00:00,-1,position_open
EURUSD,2025-08-18 06:45:00+00:00,-1,invalid_sl
EURUSD,2025-08-21 06:04:00+00:00,1,invalid_sl
EURUSD,2025-08-25 06:00:00+00:00,-1,invalid_sl
EURUSD,2025-08-25 06:36:00+00:00,1,invalid_sl
EURUSD,2025-08-29 06:57:00+00:00,-1,invalid_sl
EURUSD,2025-09-15 21:05:00+00:00,-1,invalid_sl
EURUSD,2025-09-23 16:35:00+00:00,1,invalid_sl
EURUSD,2025-10-06 02:38:00+00:00,1,position_open
EURUSD,2025-10-06 05:47:00+00:00,-1,position_open
EURUSD,2025-10-16 09:41:00+00:00,-1,invalid_sl
EURUSD,2025-10-16 11:35:00+00:00,-1,invalid_sl
EURUSD,2025-10-17 19:00:00+00:00,-1,position_open
EURUSD,2025-10-24 07:30:00+00:00,-1,invalid_sl
EURUSD,2025-11-05 15:00:00+00:00,1,invalid_sl
EURUSD,2025-11-06 22:57:00+00:00,1,invalid_sl
EURUSD,2025-11-10 22:40:00+00:00,-1,position_open
EURUSD,2025-11-13 04:16:00+00:00,1,position_open
EURUSD,2025-11-13 05:05:00+00:00,1,position_open
EURUSD,2025-11-19 00:02:00+00:00,-1,invalid_sl
EURUSD,2025-12-03 22:01:00+00:00,1,invalid_sl
EURUSD,2025-12-10 03:08:00+00:00,-1,position_open
EURUSD,2025-12-24 23:09:00+00:00,-1,invalid_sl
